state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17,state_18,state_19,state_20,state_21,state_22,state_23,state_24,state_25,state_26,action_0,action_1,action_2,action_3,action_4,action_5,action_6,reward
0.14268094,0.27874553,-0.106263235,0.20345365,0.01784264,0.009000741,0.025650883,0.02531027,0.3,4.6596407e-13,0.019892273,1.0,-2.3059462e-12,0.0,1.8878597,2.3434012,-0.059484236,-0.04103621,0.016152477,0.14149657,-0.0039197756,0.02531027,0.3,4.6596407e-13,0.019892273,1.0,-2.3059462e-12,2.5770104,-11.500728,-11.170972,17.836102,-38.3114,64.01947,-25.733334,-6318.835
0.16219494,0.30038247,-0.10675331,0.20310062,0.017856844,0.0076085115,0.025677571,0.025371753,0.3,3.1064303e-12,0.019892266,1.0,1.4823975e-12,0.0,1.9513992,2.163694,-0.049007464,-0.035302658,0.0014203782,-0.13922289,0.0026687346,0.025371753,0.3,3.1064303e-12,0.019892266,1.0,1.4823975e-12,2.5766988,-11.500895,-11.170158,17.836367,-38.31134,64.01957,-25.734089,-6318.832
0.18220997,0.3201734,-0.1068235,0.20198545,0.017586226,0.011237214,0.025700001,0.025416363,0.3,2.0191793e-12,0.019892272,1.0,-9.882607e-13,0.0,2.0015042,1.9790947,-0.0070179943,-0.111518025,-0.027061809,0.36287028,0.0022430555,0.025416363,0.3,2.0191793e-12,0.019892272,1.0,-9.882607e-13,2.5765378,-11.501009,-11.16976,17.83659,-38.31133,64.01967,-25.73455,-6318.843
0.20249838,0.3381151,-0.10658157,0.20015706,0.017351454,0.01091043,0.02566459,0.025393464,0.3,2.0191789e-12,0.019892264,1.0,-6.588393e-13,0.0,2.028841,1.7941682,0.024192482,-0.18283784,-0.023477253,-0.032678314,-0.003541031,0.025393464,0.3,2.0191789e-12,0.019892264,1.0,-6.588393e-13,2.5761895,-11.5011835,-11.168808,17.836828,-38.31126,64.01975,-25.73537,-6318.839
0.22290573,0.35423878,-0.10587247,0.19743541,0.017076619,0.013284339,0.02561883,0.025359472,0.3,2.9511079e-12,0.019892257,1.0,-1.9765231e-12,0.0,2.0407326,1.6123682,0.07091034,-0.2721661,-0.027483588,0.23739077,-0.0045760283,0.025359472,0.3,2.9511079e-12,0.019892257,1.0,-1.9765231e-12,2.5761464,-11.501233,-11.168743,17.836977,-38.31127,64.019775,-25.735508,-6318.8496
0.24322046,0.36872867,-0.10456635,0.19172795,0.016966209,0.019382115,0.025644608,0.025348186,0.3,2.1745004e-12,0.019892251,1.0,1.8118211e-12,0.0,2.031475,1.448988,0.13061218,-0.57074505,-0.011041043,0.6097776,0.0025778327,0.025348186,0.3,2.1745004e-12,0.019892251,1.0,1.8118211e-12,2.5759172,-11.501348,-11.168131,17.837166,-38.31124,64.01984,-25.736048,-6318.85
0.26321295,0.3822409,-0.0974879,0.17241102,0.017458461,0.022645626,0.025688106,0.0253404,0.3,4.659633e-13,0.019892247,1.0,4.9413707e-13,0.0,1.9992505,1.351223,0.70784545,-1.9316943,0.04922541,0.326351,0.0043498054,0.0253404,0.3,4.659633e-13,0.019892247,1.0,4.9413707e-13,2.575673,-11.501442,-11.167501,17.83731,-38.311195,64.01982,-25.736515,-6318.838
0.28274205,0.39336044,-0.09374851,0.16232869,0.018576786,0.027789805,0.025635023,0.025368316,0.3,6.212847e-13,0.019892275,1.0,1.6471119e-12,0.0,1.9529085,1.1119541,0.3739382,-1.0082333,0.1118325,0.514418,-0.0053084195,0.025368316,0.3,6.212847e-13,0.019892275,1.0,1.6471119e-12,2.5758247,-11.501238,-11.16823,17.8372,-38.311234,64.01954,-25.735706,-6318.81
0.30168045,0.40247273,-0.09297341,0.15957968,0.020121336,0.029264972,0.025641985,0.025415283,0.3,-1.8973538e-18,0.019892272,1.0,2.305955e-12,0.0,1.8938377,0.91123366,0.07751021,-0.27489966,0.15445495,0.14751649,0.000696336,0.025415283,0.3,-1.8973538e-18,0.019892272,1.0,2.305955e-12,2.5755134,-11.50146,-11.167246,17.83751,-38.311245,64.01983,-25.736755,-6318.8394
0.31991023,0.41009337,-0.09357716,0.15985033,0.022508409,0.028253026,0.025646402,0.025420306,0.3,-1.951564e-18,0.019892268,1.0,1.4824019e-12,0.0,1.8229785,0.762059,-0.06037555,0.0270646,0.2387072,-0.10119444,0.0004415143,0.025420306,0.3,-1.951564e-18,0.019892268,1.0,1.4824019e-12,2.5754778,-11.50157,-11.167091,17.837734,-38.311302,64.020065,-25.737173,-6318.8804
0.33743507,0.41670653,-0.092376456,0.15708835,0.024928978,0.02934075,0.025644267,0.025420196,0.3,1.5531933e-13,0.01989226,1.0,-8.2354533e-13,0.0,1.7524842,0.6613179,0.12007031,-0.27619886,0.24205707,0.108772434,-0.0002135206,0.025420196,0.3,1.5531933e-13,0.01989226,1.0,-8.2354533e-13,2.5754335,-11.501616,-11.166985,17.837873,-38.311344,64.02021,-25.737423,-6318.9053
